id;street;post_code;city;country;birthdate
1;Valentine Isle;77551;East Bailey;Azerbaijan;2019-09-09
2;Miller Trace;76009;Rileyside;Cote d'Ivoire;2019-09-09
3;Christelle Estate;36504-0256;North Alycia;France;2019-09-08
4;Klocko Islands;76135;McLaughlinview;Aruba;2019-09-08
5;Cecile Place;00999;Raheembury;French Southern Territories;2019-09-09
6;Paucek Corner;46164;Bartonville;Tunisia;2019-09-09
7;Ondricka Forks;34525-5109;Ryanview;United Kingdom;2019-09-09
8;Laverna Turnpike;93051-5093;Howellmouth;Ethiopia;2019-09-09
9;Fletcher Stream;26521-2810;Port Henrimouth;Hungary;2019-09-09
10;Ankunding Green;17777-7609;New Betty;Turkmenistan;2019-09-08
